car type ,made in ,number of cars in jordan ,car age ,part ,failure rate ,price of the car ,original/imitator,new\used,selling location,service location (repair shop/automotive company,repair or replacement cost ,car total maintenance cost average,critically  ,on line price ,demand
1,2,747,3,27,0.4299,19300,1,0,1,1,10,5500,0.4333,100,3.211353
2,3,1604,9,23,0.3584,12400,1,1,3,2,30,9100,0.07,290,5.748736
2,3,107371,3,13,0.0831,17000,1,0,1,1,10,9100,0.0951,70,89.225301
1,2,1516,5,20,0.344827586,16800,1,1,3,2,30,5500,0.1143,193.00633,5.227586207
1,2,350,2,18,0.16667,23100,1,0,2,1,10,5500,0.1417,50,0.583345
3,2,26,1,27,0.13,18400,1,1,3,2,50,5500,0.4333,395,0.0338
1,2,350,2,4,0.1724,23100,0,1,1,1,10,5500,0.1244,24.535,0.6034
3,2,457,2,22,0.8,17400,1,0,2,1,5,5500,0.1233,108,3.656
3,2,3571,11,21,0.1,8500,1,1,3,2,50,5500,0.1104,125,3.571
1,2,4414,8,2,3.229166667,12500,0,1,2,1,3,5500,0.03,7,142.5354167
3,2,26,1,31,0.07,18400,1,1,3,2,50,5500,0.0996,580,0.0182
1,2,1516,5,32,0.001,16800,1,0,1,1,20,5500,0.0525,105.15,0.01516
2,3,2009,10,4,0.1724,11900,1,1,3,1,10,9100,0.1244,56.08,3.463516
2,3,107371,3,33,0.0831,17000,1,1,3,2,50,9100,0.0554,394,89.225301
3,2,3995,5,10,0.17,13000,0,1,1,1,10,5500,0.2342,50,6.7915
4,1,146,1,16,0.328947368,20500,1,1,3,1,20,8200,0.0912,227,0.480263158
2,3,107371,3,2,1.568530702,17000,0,1,1,1,3,9100,0.03,7,1684.1471
3,2,273,14,15,0.01,7050,1,0,1,1,100,5500,0.1135,80,0.0273
3,2,3800,6,4,0.1,11500,1,1,1,1,10,5500,0.12,42.06,3.8
3,2,814,13,23,0.08,7500,1,0,2,1,15,5500,0.07,100,0.6512
2,3,5772,7,14,0.1108,14000,1,1,3,1,15,9100,0.1249,89.027,6.395376
1,2,1516,5,9,0.25862069,16800,1,1,2,1,10,5500,0.06,53.276,3.920689655
1,2,2213,6,4,0.1724,15500,0,1,1,1,10,5500,0.1244,24.535,3.815212
3,2,698,15,21,0.1,6600,1,1,3,1,20,5500,0.1104,125,0.698
3,2,5937,7,34,0.11,11050,1,1,3,1,35,5500,0.1934,1706,6.5307
4,1,2632,6,3,0.263157895,13700,1,0,2,1,40,8200,0.0563,10,6.926315789
1,2,1800,13,35,0.2579,8300,1,1,3,2,60,5500,0.0618,3180,4.6422
3,2,5937,7,31,0.07,11050,0,1,2,1,30,5500,0.0996,70.1,4.1559
1,2,2315,9,10,0.2579,12000,1,1,3,1,10,5500,0.2342,60,5.970385
3,2,3571,11,14,0.8,8500,0,1,1,1,15,5500,0.1249,42.06,28.568
1,2,350,2,13,0.0859,23100,0,1,1,1,10,5500,0.0951,35.05,0.30065
3,2,26,1,26,0.13,18400,1,0,2,1,20,5500,0.0662,105.15,0.0338
3,2,457,2,10,0.13,17400,0,1,1,1,10,5500,0.2342,50,0.5941
2,3,107371,3,12,0.0896,17000,1,1,3,1,15,9100,0.1297,71,96.204416
3,2,1523,3,12,0.7,15300,1,0,1,1,10,5500,0.1297,30,10.661
3,2,457,2,20,0.28,17400,1,1,3,1,25,5500,0.1143,184,1.2796
1,2,350,2,26,0.166666667,23100,1,1,1,1,20,5500,0.0662,506.122,0.583333333
3,2,3571,11,36,0.001,8500,1,0,1,1,120,5500,0.1,2000,0.03571
2,3,7212,6,15,0.166666667,15500,1,1,3,1,50,9100,0.1135,35,12.02
2,3,3221,2,21,0.0831,17500,1,1,3,1,20,9100,0.1104,35,2.676651
1,2,2031,10,6,0.645833333,10700,0,1,2,1,10,5500,0.1249,14.02,13.116875
3,2,3003,12,21,0.1,7950,0,1,2,1,20,5500,0.1104,98.14,3.003
4,1,5457,8,12,0.263157895,11900,1,0,1,1,10,8200,0.1297,20,14.36052632
2,3,2009,10,4,0.1724,11900,1,1,2,1,10,9100,0.1244,56.08,3.463516
1,2,5071,11,36,0.4299,9300,1,0,2,1,120,5500,0.1,2500,21.800229
2,3,5772,7,22,0.554,14000,1,0,1,1,10,9100,0.1233,40,31.97688
1,2,5071,11,13,0.0859,9300,1,0,2,1,10,5500,0.0951,21.03,4.355989
3,2,4549,9,22,0.8,9900,1,0,2,1,5,5500,0.1233,60,36.392
2,3,107371,3,17,0.0831,17000,1,1,3,1,10,9100,0.1275,103.748,89.225301
1,2,1924,12,23,0.0859,8700,1,0,2,1,15,5500,0.07,90,1.652716
1,2,550,4,28,0.25862069,17400,1,0,1,1,100,5500,0.107,140.2,1.422413793
1,2,5071,11,23,0.0859,9300,1,0,2,1,15,5500,0.07,90,4.355989
1,2,1516,5,25,0.1719,16800,1,1,3,1,10,5500,0.0342,250,2.606004
1,2,1951,7,18,0.4299,14300,1,0,1,1,10,5500,0.1417,50,8.387349
2,3,2098,4,6,0.470559211,16000,0,1,1,1,10,9100,0.1249,24,9.872332237
3,2,5937,7,12,0.1,11050,1,1,3,1,10,5500,0.1297,70,5.937
3,2,3571,11,28,0.8,8500,1,0,2,1,40,5500,0.107,100,28.568
1,2,1951,7,30,0.172413793,14300,1,0,2,1,15,5500,0.0743,100,3.363793103
3,2,3003,12,31,0.4,7950,1,0,1,1,35,5500,0.0996,150,12.012
2,3,1368,8,35,0.0896,12500,1,1,3,1,40,9100,0.0618,3370.408,1.225728
2,3,2009,10,32,0.7168,11900,1,0,1,1,20,9100,0.0525,100,14.400512
1,2,1800,13,26,0.25862069,8300,1,1,1,1,20,5500,0.0662,230,4.655172414
3,2,9315,10,6,0.47,9700,1,1,3,2,20,5500,0.1249,50.472,43.7805
3,2,3003,12,5,0.8,7950,1,0,2,1,10,5500,0.1053,37.854,24.024
4,1,1841,3,10,0.526315789,13880.12032,1,1,3,1,10,8200,0.2342,60,9.689473684
2,3,686,1,31,0.0896,19500,1,1,3,2,50,9100,0.0996,175.951,0.614656
1,2,792,1,19,0.16667,25200,1,1,3,1,10,5500,0.1417,130,1.3200264
4,1,874,2,25,0.0277,20000,1,1,3,2,10,8200,0.0342,350,0.242098
2,3,5772,7,30,0.172413793,14000,1,1,3,2,30,9100,0.0743,220,9.951724138
2,3,1604,9,4,0.1724,12400,1,1,1,1,10,9100,0.1244,56.08,2.765296
3,2,814,13,30,0.01,7500,1,0,1,1,15,5500,0.0743,100,0.0814
2,3,686,1,13,0.0831,19500,1,1,3,2,20,9100,0.0951,435,0.570066
3,2,273,14,4,0.4,7050,1,1,3,1,10,5500,0.12,42.06,1.092
4,1,5457,8,21,0.131578947,11900,1,0,1,1,20,8200,0.1104,40,7.180263158
4,1,1289,9,16,0.328947368,11500,1,0,1,1,20,8200,0.0912,20,4.240131579
2,3,686,1,8,0.0831,19500,1,1,3,2,20,9100,0.0924,37.153,0.570066
2,3,107371,3,5,0.0554,17000,1,1,2,1,10,9100,0.1053,50,59.483534
1,2,792,1,6,0.927083333,25200,1,1,2,1,10,5500,0.1249,50.472,7.3425
4,1,1289,9,7,0.197368421,11500,1,0,2,1,10,8200,0.0511,20,2.544078947
4,1,5457,8,14,0.263157895,11900,1,1,3,2,30,8200,0.1249,43,14.36052632
2,3,2009,10,25,0.0277,11900,1,1,3,1,10,9100,0.0342,198,0.556493
1,2,350,2,12,0.43,23100,0,1,2,1,15,5500,0.1297,30,1.505
2,3,686,1,5,0.0554,19500,1,0,1,1,10,9100,0.1053,30,0.380044
3,2,273,14,13,0.4,7050,1,1,2,1,10,5500,0.0951,39.957,1.092
2,3,1368,8,14,0.2688,12500,1,0,1,1,15,9100,0.1249,42.06,3.677184
3,2,1562,4,9,0.7,14800,0,1,1,1,10,5500,0.06,35.05,10.934
1,2,4414,8,4,0.1719,12500,1,1,3,1,10,5500,0.1244,42.06,7.587666
3,2,3571,11,15,0.01,8500,1,0,2,1,100,5500,0.1135,80,0.3571
2,3,2098,4,24,0.0277,16000,1,1,1,1,20,9100,0.1275,233.433,0.581146
3,2,26,1,13,0.07,18400,0,1,1,1,10,5500,0.0951,35.05,0.0182
2,3,7212,6,8,0.0831,15500,1,1,1,1,10,9100,0.0924,37.153,5.993172
1,2,792,1,24,0.0862,25200,1,1,2,1,10,5500,0.1275,233.433,0.682704
1,2,792,1,12,0.43,25200,1,1,3,1,15,5500,0.1297,77,3.4056
3,2,1523,3,30,0.01,15300,1,1,3,1,15,5500,0.0743,204,0.1523
2,3,2098,4,3,0.2688,16000,1,1,3,2,60,9100,0.0563,60,5.639424
2,3,3221,2,11,0.0554,17500,1,0,2,1,15,9100,0.0552,17,1.784434
4,1,2392,5,22,0.131578947,13800,1,1,3,2,20,8200,0.1233,197,3.147368421
1,2,2315,9,28,0.25862069,12000,1,1,3,2,150,5500,0.107,351.902,5.987068966
4,1,1055,3,32,0.263157895,15700,1,0,2,1,20,8200,0.0525,100,2.776315789
3,2,5864,8,14,0.7,10450,1,0,2,1,15,5500,0.1249,40,41.048
3,2,3003,12,12,0.8,7950,1,0,1,1,10,5500,0.1297,30,24.024
1,2,2031,10,23,0.0859,10700,1,1,3,1,15,5500,0.07,300,1.744629
4,1,1841,4,25,0.0277,15000,1,0,2,1,5,8200,0.0342,150,0.509957
2,3,2098,4,19,0.0554,16000,1,0,2,1,10,9100,0.1417,50,1.162292
3,2,3995,5,16,0.08,13000,1,1,3,1,10,5500,0.0912,50,3.196
4,1,146,1,12,0.263157895,20500,1,1,3,2,35,8200,0.1297,71,0.384210526
3,2,26,1,6,0.85,18400,1,1,3,1,10,5500,0.1249,50.472,0.221
2,3,7212,6,17,0.0831,15500,1,1,2,1,10,9100,0.1275,103.748,5.993172
1,2,2213,6,2,1.874117232,15500,0,1,1,1,3,5500,0.03,7,41.47421434
3,2,3800,6,36,0.001,11500,1,1,3,1,120,5500,0.1,6120,0.038
3,2,5937,7,10,0.17,11050,1,1,3,1,10,5500,0.2342,100,10.0929
1,2,350,2,17,0.1724,23100,1,0,2,1,10,5500,0.1275,56.08,0.6034
1,2,2031,10,31,0.1719,10700,0,1,1,1,30,5500,0.0996,70.1,3.491289
3,2,26,1,14,0.7,18400,1,0,2,1,20,5500,0.1249,40,0.182
1,2,1516,5,5,0.1724,16800,1,1,3,1,10,5500,0.1053,37.854,2.613584
1,2,792,1,29,0.166666667,25200,1,0,2,1,50,5500,0.1151,46.266,1.32
4,1,2392,5,23,0.263157895,13800,1,0,2,1,15,8200,0.07,100,6.294736842
1,2,5071,11,2,3.229166667,9300,1,1,3,1,3,5500,0.03,22,163.7510417
4,1,2632,6,19,0.328947368,13700,1,1,3,2,30,8200,0.1417,100,8.657894737
1,2,1516,5,11,0.25862069,16800,1,0,2,1,15,5500,0.0552,28.04,3.920689655
2,3,5772,7,12,0.0896,14000,0,1,2,1,15,9100,0.1297,40,5.171712
3,2,3800,6,18,0.8,11500,1,0,1,1,20,5500,0.1417,50,30.4
2,3,1368,8,25,0.0277,12500,1,1,3,1,10,9100,0.0342,198,0.378936
1,2,2315,9,11,0.4299,12000,0,1,2,1,15,5500,0.0552,42.06,9.952185
4,1,2720,7,36,0.026315789,12000,1,1,3,2,250,8200,0.1,3281,0.715789474
1,2,2031,10,32,0.001,10700,1,1,1,1,20,5500,0.0525,777,0.02031
3,2,9315,10,10,0.17,9700,0,1,1,1,10,5500,0.2342,50,15.8355
3,2,814,13,9,0.12,7500,1,0,1,1,10,5500,0.06,30,0.9768
1,2,1516,5,5,0.1724,16800,1,1,3,2,20,5500,0.1053,37.854,2.613584
2,3,107371,3,27,0.0277,17000,1,1,3,2,30,9100,0.4333,602,29.741767
1,2,5071,11,11,0.4299,9300,1,0,2,1,15,5500,0.0552,40,21.800229
4,1,2392,5,12,0.263157895,13800,1,1,3,2,35,8200,0.1297,49,6.294736842
3,2,3003,12,3,0.4,7950,1,0,2,1,5,5500,0.0563,25,12.012
3,2,3571,11,35,0.8,8500,1,1,3,1,20,5500,0.0618,4000,28.568
4,1,1055,3,19,0.328947368,15700,1,1,3,1,15,8200,0.1417,100,3.470394737
3,2,4549,9,9,0.17,9900,0,1,2,1,10,5500,0.06,35.05,7.7333
1,2,2315,9,9,0.3439,12000,0,1,2,1,10,5500,0.06,30,7.961285
1,2,747,3,16,0.25862069,19300,1,1,3,2,20,5500,0.0912,180.157,1.931896552
4,1,874,2,27,0.065789474,20000,1,1,3,1,35,8200,0.4333,417,0.575
1,2,1951,7,32,0.001,14300,1,0,2,1,20,5500,0.0525,105.15,0.01951
2,3,686,1,11,0.0554,19500,0,1,1,1,15,9100,0.0552,17,0.380044
1,2,550,4,21,0.431034483,17400,0,1,2,1,20,5500,0.1104,98.14,2.370689655
2,3,2098,4,17,0.0831,16000,1,0,1,1,10,9100,0.1275,56.08,1.743438
2,3,686,1,10,0.1939,19500,1,1,3,1,10,9100,0.2342,60,1.330154
3,2,1523,3,11,0.02,15300,1,1,3,1,30,5500,0.0552,160,0.3046
2,3,5772,7,17,0.0831,14000,1,1,3,2,20,9100,0.1275,103.748,4.796532
1,2,2213,6,6,0.51490162,15500,1,1,1,1,10,5500,0.1249,50.472,11.39477286
3,2,698,15,20,0.6,6600,1,0,1,1,20,5500,0.1143,30,4.188
3,2,1523,3,18,0.7,15300,1,0,2,1,25,5500,0.1417,110,10.661
3,2,3800,6,27,0.13,11500,1,1,3,1,30,5500,0.4333,395,4.94
1,2,550,4,29,0.172413793,17400,1,1,3,1,50,5500,0.1151,44.163,0.948275862
4,1,1289,9,33,0.789473684,11500,1,0,1,1,30,8200,0.0554,200,10.17631579
3,2,1523,3,22,0.8,15300,1,0,1,1,5,5500,0.1233,108,12.184
1,2,350,2,20,0.344827586,23100,1,1,3,1,15,5500,0.1143,89.728,1.206896552
3,2,4549,9,11,0.02,9900,1,0,2,1,20,5500,0.0552,50,0.9098
4,1,2720,7,35,0.394736842,12000,1,0,2,1,40,8200,0.0618,300,10.73684211
2,3,5772,7,11,0.0554,14000,1,1,2,1,15,9100,0.0552,86,3.197688
3,2,1562,4,21,0.08,14800,1,0,1,1,25,5500,0.1104,150,1.2496
1,2,550,4,32,0.001,17400,0,1,1,1,20,5500,0.0525,146.509,0.0055
3,2,273,14,21,0.1,7050,0,1,1,1,20,5500,0.1104,98.14,0.273
1,2,792,1,19,0.086206897,25200,1,0,2,1,10,5500,0.1417,60,0.682758621
2,3,2009,10,12,0.0896,11900,0,1,1,1,15,9100,0.1297,40,1.800064
1,2,1951,7,22,0.166666667,14300,1,1,3,1,40,5500,0.1233,110,3.251666667
1,2,2031,10,4,0.1719,10700,0,1,2,1,10,5500,0.1244,24.535,3.491289
1,2,747,3,32,0.001,19300,1,1,2,1,20,5500,0.0525,278.297,0.00747
1,2,5071,11,6,0.645833333,9300,0,1,2,1,10,5500,0.1249,14.02,32.75020833
1,2,747,3,26,0.25862069,19300,1,1,3,1,20,5500,0.0662,207.496,1.931896552
3,2,814,13,14,0.8,7500,0,1,2,1,15,5500,0.1249,42.06,6.512
3,2,1562,4,31,0.07,14800,1,0,2,1,40,5500,0.0996,170,1.0934
4,1,874,2,34,0.263157895,20000,1,0,2,1,35,8200,0.1934,1500,2.3
2,3,5772,7,14,0.1108,14000,1,1,3,2,30,9100,0.1249,89.027,6.395376
3,2,1562,4,5,0.69,14800,1,1,3,1,10,5500,0.1053,39,10.7778
2,3,3221,2,14,0.1108,17500,1,0,2,1,15,9100,0.1249,42.06,3.568868
2,3,5772,7,24,0.0277,14000,1,0,1,1,20,9100,0.1275,140.2,1.598844
3,2,3995,5,36,0.001,13000,1,0,2,1,100,5500,0.1,2000,0.03995
2,3,1368,8,16,0.0896,12500,1,1,3,2,20,9100,0.0912,180.157,1.225728
2,3,2757,5,31,0.0896,16000,1,1,2,1,30,9100,0.0996,175.951,2.470272
4,1,5457,8,12,0.263157895,11900,1,1,3,2,35,8200,0.1297,49,14.36052632
3,2,3800,6,4,0.1,11500,1,0,1,1,10,5500,0.12,21.03,3.8
2,3,2098,4,25,0.0277,16000,1,1,3,2,20,9100,0.0342,150,0.581146
1,2,1924,12,20,0.7738,8700,1,1,3,2,30,5500,0.1143,267,14.887912
3,2,26,1,20,0.28,18400,1,0,2,1,25,5500,0.1143,50,0.0728
3,2,26,1,11,0.02,18400,1,1,3,2,50,5500,0.0552,160,0.0052
2,3,1604,9,17,0.0831,12400,1,1,3,2,20,9100,0.1275,103.748,1.332924
1,2,550,4,11,0.25862069,17400,1,1,3,2,30,5500,0.0552,68.698,1.422413793
3,2,698,15,6,0.8,6600,1,1,2,1,10,5500,0.1249,15,5.584
1,2,1924,12,8,0.1719,8700,1,1,1,1,10,5500,0.0924,37.153,3.307356
3,2,26,1,20,0.28,18400,1,1,3,1,25,5500,0.1143,184,0.0728
1,2,1951,7,2,1.874117232,14300,1,1,3,2,10,5500,0.03,10,36.56402719
3,2,1523,3,5,0.69,15300,1,0,1,1,10,5500,0.1053,37.854,10.5087
2,3,5772,7,26,0.0896,14000,1,0,2,1,20,9100,0.0662,140.2,5.171712
2,3,1604,9,15,0.166666667,12400,1,0,2,1,50,9100,0.1135,30,2.673333333
1,2,2315,9,8,0.1719,12000,1,1,3,2,20,5500,0.0924,37.153,3.979485
1,2,2315,9,15,0.166666667,12000,1,0,2,1,100,5500,0.1135,15,3.858333333
1,2,1516,5,10,0.517241379,16800,1,1,3,2,20,5500,0.2342,60,7.84137931
2,3,686,1,9,0.0831,19500,0,1,2,1,10,9100,0.06,40,0.570066
2,3,2009,10,22,0.2688,11900,1,0,1,1,10,9100,0.1233,30,5.400192
3,2,4549,9,5,0.64,9900,1,0,2,1,10,5500,0.1053,37.854,29.1136
4,1,146,1,26,0.0896,20500,1,1,3,2,60,8200,0.0662,253,0.130816
2,3,2757,5,11,0.0554,16000,1,1,1,1,15,9100,0.0552,86,1.527378
1,2,1800,13,24,0.0862,8300,1,0,2,1,10,5500,0.1275,56.08,1.5516
4,1,874,2,3,0.263157895,20000,1,1,3,1,40,8200,0.0563,20,2.3
1,2,2213,6,19,0.086206897,15500,1,1,3,1,10,5500,0.1417,110,1.907758621
3,2,457,2,19,0.11,17400,1,1,3,1,20,5500,0.1417,140,0.5027
1,2,1516,5,14,0.344827586,16800,1,1,2,1,15,5500,0.1249,89.027,5.227586207
4,1,2720,7,29,0.0277,12000,1,0,2,1,50,8200,0.1151,300,0.75344
1,2,1800,13,15,0.166666667,8300,1,0,2,1,100,5500,0.1135,15,3
1,2,350,2,6,0.927083333,23100,1,1,2,1,10,5500,0.1249,50.472,3.244791667
2,3,7212,6,14,0.1108,15500,1,0,1,1,15,9100,0.1249,42.06,7.990896
1,2,4414,8,24,0.0862,12500,1,1,3,1,10,5500,0.1275,99.542,3.804868
3,2,273,14,9,0.12,7050,1,1,3,1,10,5500,0.06,65,0.3276
2,3,3221,2,6,0.470559211,17500,1,1,3,1,10,9100,0.1249,24,15.15671217
1,2,5071,11,22,0.166666667,9300,1,0,2,1,40,5500,0.1233,30,8.451666667
4,1,146,1,36,0.026315789,20500,1,1,3,2,250,8200,0.1,2349,0.038421053
3,2,3800,6,23,0.08,11500,1,1,3,1,15,5500,0.07,328,3.04
1,2,4414,8,23,0.0859,12500,1,0,1,1,15,5500,0.07,90,3.791626
1,2,1951,7,11,0.25862069,14300,1,1,3,1,15,5500,0.0552,68.698,5.045689655
4,1,1289,9,32,0.263157895,11500,1,0,1,1,20,8200,0.0525,80,3.392105263
4,1,2720,7,10,0.526315789,12000,0,1,2,1,10,8200,0.2342,40,14.31578947
3,2,273,14,26,0.2,7050,1,0,2,1,20,5500,0.0662,115,0.546
3,2,26,1,4,0.1,18400,0,1,2,1,10,5500,0.12,24.535,0.026
2,3,107371,3,14,0.1108,17000,1,1,1,1,15,9100,0.1249,89.027,118.967068
4,1,874,2,32,0.263157895,20000,1,1,3,1,20,8200,0.0525,776,2.3
4,1,1289,9,17,0.263157895,11500,1,0,2,1,10,8200,0.1275,30,3.392105263
2,3,2098,4,24,0.0277,16000,1,0,2,1,20,9100,0.1275,140.2,0.581146
2,3,686,1,34,0.0277,19500,1,0,1,1,35,9100,0.1934,500,0.190022
2,3,5772,7,3,0.2688,14000,1,0,1,1,40,9100,0.0563,30,15.515136
1,2,2315,9,4,0.1719,12000,1,1,1,1,10,5500,0.1244,42.06,3.979485
4,1,2632,6,16,0.328947368,13700,1,0,1,1,20,8200,0.0912,20,8.657894737
1,2,5071,11,20,0.7738,9300,1,0,2,1,15,5500,0.1143,90,39.239398
3,2,3571,11,31,0.4,8500,0,1,2,1,30,5500,0.0996,70.1,14.284
1,2,1951,7,5,0.1724,14300,1,0,1,1,10,5500,0.1053,37.854,3.363524
1,2,1924,12,10,0.2579,8700,0,1,1,1,10,5500,0.2342,40,4.961996
1,2,2213,6,13,0.0859,15500,1,0,1,1,10,5500,0.0951,21.03,1.900967
2,3,1368,8,7,0.1792,12500,1,1,2,1,10,9100,0.0511,41,2.451456
4,1,874,2,26,0.0896,20000,1,1,3,2,60,8200,0.0662,253,0.783104
4,1,874,2,12,0.263157895,20000,1,1,3,2,35,8200,0.1297,71,2.3
3,2,1562,4,3,0.3,14800,1,0,2,1,5,5500,0.0563,30,4.686
1,2,2315,9,21,0.5159,12000,0,1,2,1,20,5500,0.1104,98.14,11.943085
4,1,874,2,15,0.065789474,20000,1,0,2,1,50,8200,0.1135,50,0.575
2,3,2009,10,14,0.2688,11900,1,0,2,1,15,9100,0.1249,42.06,5.400192
2,3,2757,5,2,1.568530702,16000,1,1,3,2,10,9100,0.03,14,43.24439145
2,3,686,1,36,0.0277,19500,1,0,2,1,150,9100,0.1,1752.5,0.190022
3,2,1523,3,11,0.02,15300,1,0,1,1,30,5500,0.0552,70,0.3046
2,3,3221,2,28,0.25862069,17500,1,0,2,1,40,9100,0.107,300,8.330172414
1,2,1924,12,28,0.25862069,8700,1,0,2,1,100,5500,0.107,140.2,4.975862069
2,3,2098,4,16,0.0554,16000,1,0,1,1,10,9100,0.0912,60,1.162292
3,2,26,1,3,0.3,18400,1,1,3,2,10,5500,0.0563,57,0.078
4,1,2720,7,17,0.263157895,12000,1,0,1,1,10,8200,0.1275,30,7.157894737
1,2,350,2,2,2.556640625,23100,1,1,3,2,10,5500,0.03,10,8.948242188
1,2,550,4,14,0.344827586,17400,1,1,1,1,15,5500,0.1249,89.027,1.896551724
3,2,698,15,15,0.01,6600,1,1,3,2,150,5500,0.1135,151,0.0698
3,2,273,14,7,0.2,7050,1,0,1,1,5,5500,0.0511,30,0.546
1,2,1516,5,14,0.344827586,16800,1,0,1,1,15,5500,0.1249,42.06,5.227586207
3,2,3003,12,34,0.2,7950,1,0,1,1,30,5500,0.1934,1413,6.006
1,2,5071,11,25,0.1719,9300,1,1,3,1,10,5500,0.0342,250,8.717049
2,3,7212,6,13,0.0831,15500,0,1,1,1,10,9100,0.0951,200,5.993172
1,2,1516,5,17,0.1724,16800,0,1,1,1,10,5500,0.1275,49.07,2.613584
3,2,5864,8,21,0.08,10450,1,1,3,1,25,5500,0.1104,266,4.6912
3,2,3995,5,18,0.8,13000,1,1,3,2,40,5500,0.1417,90,31.96
2,3,107371,3,31,0.0896,17000,1,1,1,1,30,9100,0.0996,175.951,96.204416
4,1,146,1,7,0.197368421,20500,1,1,3,1,10,8200,0.0511,95,0.288157895
1,2,1516,5,7,0.166666667,16800,1,0,1,1,10,5500,0.0511,35.05,2.526666667
3,2,1562,4,36,0.001,14800,1,1,3,2,240,5500,0.1,6120,0.01562
1,2,2213,6,13,0.0859,15500,0,1,1,1,10,5500,0.0951,35.05,1.900967
1,2,2315,9,31,0.1719,12000,1,0,2,1,30,5500,0.0996,80.615,3.979485
2,3,5772,7,31,0.0896,14000,1,1,3,2,50,9100,0.0996,175.951,5.171712
4,1,2632,6,23,0.263157895,13700,1,1,3,1,15,8200,0.07,220,6.926315789
1,2,1516,5,6,0.51490162,16800,0,1,1,1,10,5500,0.1249,14.02,7.805908565
2,3,1368,8,31,0.0896,12500,0,1,1,1,30,9100,0.0996,255.865,1.225728
2,3,2009,10,36,0.3584,11900,1,0,2,1,150,9100,0.1,1752.5,7.200256
2,3,2098,4,21,0.0831,16000,1,0,1,1,20,9100,0.1104,35,1.743438
3,2,5864,8,36,0.001,10450,1,1,3,1,120,5500,0.1,6120,0.05864
3,2,457,2,3,0.3,17400,1,0,2,1,5,5500,0.0563,30,1.371
1,2,2031,10,4,0.1719,10700,1,1,2,1,50,5500,0.1244,42.06,3.491289
3,2,1562,4,6,0.85,14800,0,1,1,1,10,5500,0.1249,14.02,13.277
1,2,747,3,19,0.25862069,19300,1,0,1,1,10,5500,0.1417,50,1.931896552
1,2,350,2,13,0.0859,23100,1,1,3,1,10,5500,0.0951,39.957,0.30065
4,1,2392,5,27,0.065789474,13800,1,0,2,1,30,8200,0.4333,200,1.573684211
4,1,2720,7,20,0.344827586,12000,1,1,3,1,20,8200,0.1143,285,9.379310345
2,3,3221,2,24,0.0277,17500,1,0,2,1,20,9100,0.1275,140.2,0.892217
1,2,550,4,13,0.0859,17400,0,1,2,1,10,5500,0.0951,35.05,0.47245
3,2,273,14,23,0.08,7050,1,0,1,1,15,5500,0.07,100,0.2184
1,2,2315,9,26,0.25862069,12000,1,1,3,1,20,5500,0.0662,230,5.987068966
4,1,1055,3,3,0.263157895,15700,1,0,1,1,40,8200,0.0563,10,2.776315789
1,2,747,3,17,0.1724,19300,1,0,1,1,10,5500,0.1275,49.07,1.287828
2,3,1368,8,9,0.1792,12500,1,0,1,1,10,9100,0.06,30,2.451456
4,1,2392,5,19,0.328947368,13800,1,1,3,1,15,8200,0.1417,100,7.868421053
1,2,2213,6,28,0.25862069,15500,1,0,1,1,100,5500,0.107,140.2,5.723275862
2,3,686,1,4,0.1724,19500,1,1,3,2,20,9100,0.1244,56.08,1.182664
4,1,2632,6,20,0.344827586,13700,1,1,3,1,20,8200,0.1143,285,9.075862069
1,2,550,4,30,0.172413793,17400,1,0,1,1,15,5500,0.0743,100,0.948275862
1,2,1951,7,29,0.172413793,14300,1,0,2,1,50,5500,0.1151,44.163,3.363793103
3,2,3800,6,20,0.28,11500,1,1,3,1,25,5500,0.1143,184,10.64
1,2,550,4,7,0.166666667,17400,1,1,3,1,10,5500,0.0511,52.575,0.916666667
2,3,2098,4,13,0.0831,16000,1,0,1,1,10,9100,0.0951,70,1.743438
1,2,2031,10,26,0.25862069,10700,1,1,2,1,20,5500,0.0662,230,5.252586207
2,3,2009,10,4,0.1724,11900,0,1,2,1,10,9100,0.1244,24.535,3.463516
1,2,1951,7,20,0.344827586,14300,1,0,2,1,15,5500,0.1143,70.1,6.727586207
2,3,107371,3,30,0.172413793,17000,1,0,1,1,15,9100,0.0743,150,185.1224138
1,2,1951,7,26,0.25862069,14300,1,0,1,1,20,5500,0.0662,105.15,5.045689655
4,1,2720,7,36,0.026315789,12000,1,0,2,1,150,8200,0.1,1000,0.715789474
3,2,3003,12,10,0.6,7950,0,1,2,1,10,5500,0.2342,50,18.018
1,2,2213,6,28,0.25862069,15500,1,1,1,1,100,5500,0.107,351.902,5.723275862
2,3,5772,7,33,0.0831,14000,1,0,1,1,40,9100,0.0554,200,4.796532
3,2,1562,4,6,0.85,14800,1,1,1,1,10,5500,0.1249,50.472,13.277
3,2,1523,3,30,0.01,15300,1,0,2,1,15,5500,0.0743,150,0.1523
1,2,550,4,6,0.51490162,17400,0,1,2,1,10,5500,0.1249,14.02,2.831958912
4,1,1055,3,10,0.526315789,15700,0,1,1,1,10,8200,0.2342,40,5.552631579
3,2,9315,10,9,0.17,9700,0,1,1,1,10,5500,0.06,35.05,15.8355
3,2,3800,6,14,0.7,11500,0,1,2,1,15,5500,0.1249,42.06,26.6
4,1,2632,6,31,0.0896,13700,1,1,3,1,35,8200,0.0996,233,2.358272
