car type ,made in ,number of cars in jordan ,car age ,part ,failure rate ,price of the car ,original/imitator,new\used,selling location,service location (repair shop/automotive company,repair or replacement cost ,car total maintenance cost average,critically  ,online price ,price 
3,2,3800,6,7,0.2,11500,1,0,2,1,5,5500,0.0511,30,10
3,2,3003,12,13,0.4,7950,0,1,2,1,10,5500,0.0951,35.05,20
4,1,5457,8,16,0.328947368,11900,1,1,3,2,40,8200,0.0912,152,160
2,3,2009,10,36,0.3584,11900,1,1,3,2,250,9100,0.1,10701.466,6500
3,2,26,1,13,0.07,18400,1,1,3,2,20,5500,0.0951,39.957,100
4,1,2392,5,20,0.344827586,13800,1,1,3,1,20,8200,0.1143,285,906
1,2,1800,13,15,0.166666667,8300,1,1,3,2,150,5500,0.1135,15,121.53
3,2,273,14,19,0.11,7050,1,0,2,1,15,5500,0.1417,70,60
3,2,1562,4,21,0.07,14800,0,1,2,1,20,5500,0.1104,119.17,140
3,2,1562,4,29,0.001,14800,1,1,3,2,100,5500,0.1151,71,180
1,2,2213,6,16,0.25862069,15500,1,1,3,2,20,5500,0.0912,180.157,129.33
1,2,1800,13,23,0.0859,8300,1,0,1,1,15,5500,0.07,90,130
1,2,2213,6,26,0.25862069,15500,1,0,2,1,20,5500,0.0662,105.15,50
1,2,747,3,11,0.25862069,19300,1,0,2,1,15,5500,0.0552,28.04,60
4,1,2632,6,9,0.263157895,13700,1,1,3,2,20,8200,0.06,27,18
1,2,350,2,35,0.166666667,23100,1,0,2,1,40,5500,0.0618,487.195,200
1,2,1951,7,9,0.25862069,14300,0,1,2,1,10,5500,0.06,35.05,70
3,2,3800,6,22,0.8,11500,1,1,3,2,10,5500,0.1233,60,168
1,2,350,2,13,0.0859,23100,1,1,2,1,10,5500,0.0951,39.957,130
3,2,1523,3,10,0.13,15300,1,1,3,1,10,5500,0.2342,100,100
1,2,550,4,24,0.0862,17400,1,1,1,1,10,5500,0.1275,99.542,100
1,2,5071,11,12,0.4299,9300,1,1,3,1,15,5500,0.1297,85,120
4,1,1841,4,14,0.263157895,15000,1,0,1,1,15,8200,0.1249,40,50
2,3,2009,10,21,0.2688,11900,0,1,1,1,20,9100,0.1104,35,100
2,3,2098,4,11,0.0554,16000,1,1,3,2,30,9100,0.0552,86,104
3,2,273,14,25,0.1719,7050,1,1,3,1,10,5500,0.0342,250,718
3,2,1562,4,14,0.7,14800,0,1,1,1,15,5500,0.1249,42.06,60
1,2,2213,6,21,0.431034483,15500,1,1,3,2,40,5500,0.1104,182.26,215.65
3,2,1523,3,3,0.3,15300,1,0,1,1,5,5500,0.0563,30,25
4,1,1289,9,36,0.026315789,11500,1,0,2,1,150,8200,0.1,1000,950
3,2,1523,3,22,0.8,15300,1,1,3,2,10,5500,0.1233,108,325
1,2,1951,7,8,0.086206897,14300,1,1,2,1,10,5500,0.0924,37.153,50
3,2,1523,3,21,0.08,15300,1,1,3,2,50,5500,0.1104,240,204
1,2,792,1,32,0.001,25200,1,1,3,1,20,5500,0.0525,329.47,1495.79
1,2,1924,12,2,3.229166667,8700,0,1,2,1,3,5500,0.03,7,6
1,2,2031,10,2,3.229166667,10700,0,1,2,1,3,5500,0.03,7,6
2,3,2098,4,12,0.0896,16000,1,1,3,1,15,9100,0.1297,71,87
4,1,1841,4,27,0.065789474,15000,1,0,2,1,30,8200,0.4333,200,160
3,2,698,15,28,0.8,6600,1,0,2,1,40,5500,0.107,100,70
4,1,5457,8,19,0.328947368,11900,1,1,3,2,30,8200,0.1417,100,230
3,2,3800,6,26,0.13,11500,1,1,3,2,40,5500,0.0662,230,250
4,1,2632,6,27,0.065789474,13700,1,1,3,1,30,8200,0.4333,414,413
1,2,350,2,23,0.172413793,23100,1,1,3,2,30,5500,0.07,700,800
3,2,1562,4,22,0.8,14800,1,1,3,1,5,5500,0.1233,108,325
2,3,5772,7,34,0.0277,14000,1,0,1,1,35,9100,0.1934,500,400
3,2,9315,10,15,0.01,9700,1,1,3,2,150,5500,0.1135,140,191
4,1,874,2,23,0.263157895,20000,1,0,1,1,15,8200,0.07,100,70
2,3,2098,4,12,0.0896,16000,0,1,2,1,15,9100,0.1297,40,40
1,2,1951,7,21,0.431034483,14300,1,0,2,1,20,5500,0.1104,84.12,150
3,2,814,13,15,0.01,7500,1,0,1,1,100,5500,0.1135,80,50
2,3,7212,6,12,0.0896,15500,1,1,3,2,30,9100,0.1297,71,87
4,1,146,1,15,0.065789474,20500,1,0,1,1,50,8200,0.1135,50,60
1,2,1516,5,26,0.25862069,16800,1,1,1,1,20,5500,0.0662,207.496,197.51
1,2,747,3,21,0.431034483,19300,1,0,2,1,20,5500,0.1104,84.12,150
1,2,1516,5,23,0.172413793,16800,1,0,1,1,15,5500,0.07,70.1,120
4,1,2720,7,27,0.065789474,12000,1,0,1,1,30,8200,0.4333,200,100
1,2,1516,5,31,0.25862069,16800,1,1,3,2,50,5500,0.0996,171.044,353.83
1,2,5071,11,22,0.166666667,9300,1,1,3,2,60,5500,0.1233,100,120
3,2,273,14,10,0.6,7050,0,1,1,1,10,5500,0.2342,50,50
1,2,2315,9,25,0.1719,12000,1,0,2,1,10,5500,0.0342,100,60
3,2,1562,4,4,0.1,14800,1,0,1,1,10,5500,0.12,21.03,50
3,2,273,14,25,0.1719,7050,1,0,1,1,10,5500,0.0342,100,50
4,1,2720,7,31,0.0896,12000,1,0,2,1,35,8200,0.0996,100,170
1,2,1951,7,7,0.166666667,14300,1,1,3,2,15,5500,0.0511,52.575,37.88
2,3,2009,10,21,0.2688,11900,1,0,1,1,20,9100,0.1104,35,270
3,2,698,15,16,0.2,6600,1,1,3,2,30,5500,0.0912,45,105
1,2,1516,5,17,0.1724,16800,1,0,1,1,10,5500,0.1275,49.07,50
2,3,3221,2,28,0.25862069,17500,1,0,1,1,40,9100,0.107,300,90
1,2,747,3,18,0.4299,19300,1,0,2,1,10,5500,0.1417,50,50
2,3,3221,2,34,0.0277,17500,1,1,3,1,35,9100,0.1934,4823,5000
1,2,1951,7,31,0.25862069,14300,1,1,3,1,30,5500,0.0996,171.044,353.83
2,3,3221,2,15,0.166666667,17500,1,1,3,2,100,9100,0.1135,35,70
1,2,1800,13,2,3.229166667,8300,0,1,2,1,3,5500,0.03,7,6
